epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,692.269,0.83994,1.10986,1.16517,0.73365,0.73348,0.75029,0.63116,0.77732,0.889,1.11306,0.000315598,0.000315598,0.000315598
43,707.563,0.83726,1.07983,1.15738,0.684,0.75207,0.75438,0.62127,0.77512,0.89849,1.12528,0.000314588,0.000314588,0.000314588
44,722.934,0.83568,1.06046,1.13681,0.75376,0.73529,0.75379,0.62809,0.76021,0.87591,1.10996,0.000313579,0.000313579,0.000313579
45,738.262,0.82114,1.04429,1.13923,0.76799,0.74258,0.76354,0.64059,0.74817,0.88662,1.10662,0.000312569,0.000312569,0.000312569
46,753.596,0.83367,1.06185,1.13384,0.78195,0.70799,0.7711,0.64042,0.74953,0.88645,1.10671,0.000311559,0.000311559,0.000311559
47,768.797,0.83906,1.08259,1.16163,0.72825,0.77333,0.76968,0.64841,0.73936,0.84264,1.09809,0.000310549,0.000310549,0.000310549
48,784.049,0.82208,1.03891,1.13374,0.70661,0.76492,0.77221,0.6432,0.76547,0.90064,1.10596,0.000309539,0.000309539,0.000309539
49,799.336,0.7989,0.9922,1.11784,0.70906,0.77326,0.77328,0.65528,0.71903,0.84248,1.077,0.00030853,0.00030853,0.00030853
50,814.661,0.79509,0.98594,1.13138,0.73532,0.74643,0.77138,0.65058,0.74478,0.84541,1.09867,0.00030752,0.00030752,0.00030752
51,830.164,0.79588,1.01788,1.12524,0.75628,0.76047,0.77853,0.6554,0.72798,0.85474,1.08523,0.00030651,0.00030651,0.00030651
52,845.796,0.79981,0.981,1.11517,0.75007,0.745,0.77556,0.65503,0.72775,0.83157,1.0829,0.0003055,0.0003055,0.0003055
53,861.044,0.80063,1.00469,1.12911,0.75138,0.71576,0.7632,0.64515,0.71331,0.81978,1.07566,0.00030449,0.00030449,0.00030449
54,876.312,0.79435,1.01422,1.12273,0.7437,0.69346,0.75611,0.63227,0.75206,0.88886,1.08957,0.000303481,0.000303481,0.000303481
55,891.641,0.79445,0.99312,1.11443,0.75624,0.76262,0.7709,0.65138,0.72038,0.8441,1.07483,0.000302471,0.000302471,0.000302471
56,907.119,0.77722,0.9826,1.11517,0.79435,0.69991,0.77358,0.65036,0.73001,0.81503,1.09321,0.000301461,0.000301461,0.000301461
57,922.362,0.7757,0.97785,1.115,0.81609,0.74407,0.79678,0.67431,0.71866,0.79169,1.07796,0.000300451,0.000300451,0.000300451
